peer_item,covariance,cosine,n_common
6305480869,1.1040022373199463,0.5551349317069174,3
B00ZL4Q7NE,0.8620154857635498,0.4335058388767699,7
B00HW3EI3I,0.485929936170578,0.360606957166981,3
B00BTFK07I,0.35423561930656433,0.9999999884213266,3
B00FL31UF0,0.26121899485588074,0.3734090231960134,5
B00IKM5LXG,0.18417006731033325,0.2761549223128904,3
B00HUTPK4U,-0.10862281918525696,-0.2465058897288866,3
B004K6FS5W,-0.2911614179611206,-0.4806813400634889,4
B000E372ZY,-0.6445624828338623,-0.8954218291959781,3
B00FRE6OFO,-1.1898834705352783,-0.882962910036337,4
