item_id,rating
0000143502,5.0
0000143529,5.0
0000143561,3.5
0000143588,4.7
0000695009,4.0
000073991X,5.0
0000791156,5.0
000107461X,5.0
0001421409,5.0
0001485423,5.0
0001499572,5.0
0001517791,4.6666665
0001526863,4.923077
0001527665,4.1666665
0005000009,4.25
0005019222,5.0
0005019281,4.466242
0005022134,5.0
000503860X,4.814815
0005048524,3.857143
0005054885,4.0
0005055121,4.0
0005059836,4.4444447
0005089549,4.8125
0005090288,5.0
0005092663,4.387755
0005097258,4.25
0005114276,5.0
0005114349,4.428571
0005119367,4.7705226
0005123909,4.8
0005123968,4.548387
0005134188,5.0
0005164850,3.8666666
0005165687,4.5
0005200288,4.1666665
0005349559,5.0
0005419263,4.7916665
0005445825,4.2
0005452287,5.0
0006486576,4.6488547
0006588204,4.6666665
0012175447,4.25
0020110006,5.0
0075723840,5.0
0078781418,3.0
0126604258,1.0
013022183X,2.0
0131903748,1.0
0140882847,5.0
0253012015,4.6666665
0253030471,5.0
0253030935,5.0
0307141144,5.0
0307142477,2.0
0307142493,4.769231
0309011329,4.0
031008136X,5.0
0310081483,4.0
0310081785,5.0
0310085756,4.875
0310090431,3.0
031020559X,5.0
0310213851,5.0
0310266378,4.5
0310271908,4.2580647
0310275288,4.3636365
0310278899,5.0
0310279623,5.0
0310280923,4.0
0310285062,4.5
0310326893,5.0
0310328683,5.0
0310329353,5.0
0310329396,4.75
0310333083,5.0
0310396271,5.0
0310396336,4.7727275
0310582792,5.0
0310691281,4.9473686
0310691621,4.2
0310699606,5.0
0310699851,5.0
0310817730,4.785714
0310819415,4.266667
0310875250,4.0
0310878802,5.0
031087968X,5.0
0310890322,4.0
0310893984,4.939394
0310894913,4.5
0314197400,4.0
0375810331,4.626289
0384948251,1.0
0394828666,1.0
0394878566,5.0
0439835410,4.0
043983791X,4.6666665
0439838010,5.0
0446536547,5.0
0473164450,5.0
0495189502,5.0
0510539610,4.510638
0534538916,5.0
0544451791,5.0
0563228156,5.0
0570088933,4.75
0578002019,4.263158
0578047861,4.590909
0607987162,5.0
0615111017,4.8
0615113702,5.0
0615115187,4.4175825
0615208185,5.0
0615212050,4.3333335
0615229492,3.5
061524226X,4.9484534
0615279392,5.0
0615536255,3.0
0615544266,4.5555553
0615690076,5.0
0618585559,4.5
0620335513,5.0
0652122450,4.0
0679884815,4.5
0687497590,3.6
0692002146,5.0
0714860239,4.4210525
0718003373,4.7894735
0718003411,4.7
0718017781,4.4827585
0718017978,5.0
0736051546,4.6666665
0736060316,4.6
0736546278,5.0
0736925856,4.642857
0736928936,4.8636365
0736937714,4.0
0736943676,4.25
073891908X,3.6666667
0738920061,4.5
0738920444,2.25
0738920762,4.341837
0738921335,5.0
0738921467,4.478261
0738921629,3.0
0738921696,3.25
0739040294,3.0
0739040375,4.7021275
0739062654,4.0
0739073095,4.888889
0739093959,1.0
0739094858,5.0
0739601636,5.0
0740307320,1.0
0740309323,3.0294118
0740316591,4.736842
0740318543,3.25
0740318748,5.0
0740318764,4.6923075
0740318942,4.0
0740319094,4.6666665
0740319140,4.1904764
0740321846,5.0
0740324640,5.0
0740325124,3.8
0756030099,4.0
0756030870,5.0
0756032709,1.0
0756035856,5.0
075662827X,2.3333333
0756638917,5.0
0756645034,3.4
0756682711,5.0
0757915655,4.8235292
0757919324,4.888889
075792347X,3.7272727
0757938892,3.0
0757990290,4.66
0757991637,5.0
0760103496,4.6666665
076011157X,5.0
0760113858,5.0
0762709960,4.3333335
0764000446,5.0
0764000969,3.9230769
076400297X,4.5
0764003410,4.25
0764003828,4.0546875
0764004581,4.3944955
0764005367,4.5
0764005529,4.3455496
0764005804,4.142857
0764006053,3.4
0764006401,3.8245614
076400753X,4.0
0764008722,4.285714
0764009303,5.0
0764193597,3.857143
0764193627,4.173077
0764476254,5.0
076449001X,5.0
0764490567,5.0
0764820516,5.0
0766232336,3.6666667
0766235947,3.5
0766253872,1.0
0767000021,4.5
0767001311,4.255597
0767003772,5.0
0767004132,4.285714
076700941X,4.716049
0767010310,5.0
0767010981,4.5
076701118X,5.0
0767011422,2.0
0767011929,5.0
0767012100,5.0
0767012437,5.0
0767012577,4.857143
0767012739,4.625
076701443X,5.0
0767015045,4.3333335
0767015223,4.8333335
0767015525,2.8688889
0767016017,5.0
0767016122,5.0
0767017757,5.0
0767018699,4.78125
0767018915,5.0
0767019040,5.0
0767019245,3.4
0767020294,3.778626
0767020731,4.8461537
0767021983,4.0
0767022831,4.0
0767023234,4.2222223
0767023447,4.8235292
0767023765,4.519355
0767025385,4.928571
0767025512,4.5833335
0767027043,4.6666665
0767027329,4.4864864
0767027590,5.0
0767082184,3.875
0767087372,4.39485
0767088247,4.615894
0767726227,4.5555553
0767800311,4.4411764
076780046X,4.4104476
0767800745,4.714286
0767801814,4.8235292
076780192X,4.5054946
0767802799,4.2475963
0767803310,4.678571
0767803434,4.448682
0767804325,4.501718
0767805534,4.1673584
0767805712,4.2607794
0767808673,4.391593
0767809254,4.7232785
0767809726,4.34375
0767811089,4.614286
0767811704,4.215909
0767812662,3.5
0767813421,4.125
0767814908,3.2765958
0767815335,4.204611
0767815963,3.6574075
076781617X,5.0
0767817486,4.2038836
0767817648,4.3333335
0767817664,4.590618
0767817737,4.398104
0767818105,4.4802866
0767818555,4.3333335
0767819276,4.0
0767819454,4.3710938
0767819462,4.481081
0767819519,4.0666666
0767821408,3.5483193
0767821610,4.41129
0767821807,4.230769
0767824555,4.650624
0767824571,4.6621985
0767825462,4.2
0767826728,3.3988094
0767827686,4.5061727
0767827759,3.3537414
0767830555,4.421659
076783254X,3.3333333
0767834739,3.960697
0767835069,4.3492537
0767836359,4.5879946
0767836804,1.0
0767837398,4.5
0767839129,3.4070048
0767839277,4.5029535
0767849833,2.0
0767850823,4.0
076785344X,3.8068964
0767853636,4.617847
0767882938,4.398496
0768442508,5.0
0768442540,5.0
