rating_id,user_id,item_id,rating,date
1,2798,18,5,2025-02-11
2,848,383,1,2025-11-29
3,798,171,4,2025-01-22
4,3701,359,5,2025-09-24
5,4426,307,4,2025-12-29
6,2223,298,1,2025-08-24
7,4919,257,2,2025-06-07
8,3465,151,5,2025-09-16
9,2053,273,5,2025-02-08
10,3763,378,4,2025-08-08
11,4621,46,2,2025-05-23
12,2011,253,3,2025-08-01
13,1178,155,5,2025-11-12
14,3854,220,3,2025-03-18
15,3271,105,5,2025-11-04
16,4247,173,4,2025-12-10
17,621,394,5,2025-08-29
18,44,22,3,2025-11-25
19,3394,372,2,2025-10-24
20,1270,73,3,2025-07-06
21,1725,4,5,2025-11-04
22,191,215,3,2025-12-05
23,2165,100,4,2025-08-01
24,2241,510,5,2025-12-02
25,4162,166,5,2025-11-10
26,3019,182,4,2025-07-29
27,2982,187,3,2025-05-05
28,2365,2,5,2025-04-18
29,3010,476,4,2025-07-05
30,3757,5,2,2025-05-29
31,4609,150,4,2025-11-16
32,2237,28,3,2025-08-19
33,4988,223,5,2025-02-19
34,407,438,4,2025-01-19
35,363,212,3,2025-09-21
36,1734,310,4,2025-11-02
37,900,84,3,2025-04-26
38,3248,366,4,2025-08-02
39,1313,458,5,2025-09-22
40,3705,216,4,2025-12-08
41,107,48,4,2025-03-21
42,950,497,3,2025-09-05
43,3222,246,5,2025-06-24
44,4815,338,4,2025-09-25
45,418,331,5,2025-09-08
46,4289,256,5,2025-06-21
47,773,60,5,2025-09-22
48,2681,273,5,2025-11-04
49,1282,246,4,2025-08-26
50,3903,160,4,2025-09-07
51,3530,472,5,2025-07-28
52,1659,388,2,2025-01-08
53,587,358,4,2025-05-12
54,391,115,2,2025-05-19
55,3535,125,4,2025-03-01
56,3669,62,5,2025-12-18
57,3341,218,4,2025-01-07
58,3027,66,4,2025-07-28
59,4627,480,5,2025-10-17
60,476,306,1,2025-07-23
61,2822,230,3,2025-11-09
62,4209,264,4,2025-12-21
63,4483,122,5,2025-11-11
64,3741,405,4,2025-09-11
65,644,330,5,2025-06-07
66,330,269,4,2025-07-29
67,1361,36,5,2025-01-22
68,2709,402,3,2025-07-10
69,1355,472,4,2025-08-08
70,4363,59,4,2025-04-07
71,734,398,2,2025-08-16
72,1447,419,2,2025-06-22
73,3258,224,5,2025-10-09
74,2429,320,4,2025-12-21
75,453,304,3,2025-02-15
76,3893,305,5,2025-08-05
77,3607,444,5,2025-06-23
78,820,516,4,2025-08-24
79,3474,64,5,2025-11-06
80,854,340,5,2025-10-16
81,4054,369,4,2025-10-15
82,503,32,4,2025-09-26
83,1693,107,3,2025-08-23
84,3173,148,5,2025-10-06
85,4704,409,4,2025-10-10
86,3544,362,4,2025-11-27
87,337,83,2,2025-01-03
88,2067,4,3,2025-03-26
89,1026,67,5,2025-08-22
90,2950,222,2,2025-10-23
91,1420,358,5,2025-06-29
92,3614,351,4,2025-02-23
93,137,431,5,2025-01-31
94,2797,158,5,2025-01-26
95,1388,250,5,2025-03-12
96,4484,202,4,2025-01-26
97,2308,39,4,2025-08-23
98,3105,159,3,2025-01-02
99,2701,270,4,2025-04-01
100,3506,61,2,2025-05-29
101,45,347,4,2025-02-07
102,4454,495,5,2025-03-09
103,3036,277,5,2025-02-16
104,1231,289,3,2025-04-19
105,204,379,4,2025-12-12
106,2960,396,2,2025-08-06
107,760,321,3,2025-02-14
108,1823,23,3,2025-06-25
109,3150,111,3,2025-04-16
110,3690,386,4,2025-04-04
111,2700,167,5,2025-10-21
112,2939,143,5,2025-06-20
113,927,341,4,2025-02-21
114,385,9,2,2025-03-17
115,3724,43,4,2025-12-01
116,3767,260,4,2025-01-26
117,3433,44,5,2025-03-13
118,4807,291,2,2025-09-30
119,868,359,4,2025-03-04
120,2161,195,4,2025-03-21
121,2848,403,1,2025-03-18
122,2660,122,3,2025-05-13
123,2773,141,4,2025-06-17
124,1537,277,2,2025-04-14
125,2391,359,3,2025-04-29
126,2148,253,2,2025-03-16
127,3762,403,3,2025-10-11
128,2349,427,4,2025-11-11
129,2152,426,4,2025-03-03
130,4721,249,4,2025-02-26
131,2463,455,4,2025-07-10
132,4743,266,3,2025-06-29
133,1187,127,5,2025-08-17
134,3967,150,3,2025-07-17
135,1881,382,2,2025-07-12
136,4850,422,4,2025-05-30
137,1082,324,5,2025-10-31
138,3914,385,4,2025-02-26
139,3538,412,5,2025-08-24
140,4165,500,3,2025-02-17
141,332,420,5,2025-08-10
142,3881,374,2,2025-05-08
143,739,320,5,2025-08-14
144,2165,147,1,2025-12-11
145,3601,304,2,2025-08-17
146,3891,242,5,2025-10-29
147,917,398,3,2025-05-29
148,709,365,5,2025-10-06
149,2405,449,2,2025-11-07
150,695,96,2,2025-01-24
151,2464,319,3,2025-08-04
152,1421,123,3,2025-05-28
153,4957,256,5,2025-10-08
154,3290,506,5,2025-05-12
155,2869,14,2,2025-11-10
156,2926,284,4,2025-03-19
157,717,368,4,2025-05-24
158,1360,26,4,2025-03-08
159,2059,238,3,2025-02-01
160,523,88,5,2025-08-22
161,1858,108,5,2025-07-06
162,1265,372,4,2025-06-01
163,691,83,4,2025-05-21
164,1452,194,5,2025-04-28
165,535,406,2,2025-05-04
166,1528,88,4,2025-12-29
167,4180,398,5,2025-11-13
168,3596,272,1,2025-11-18
169,2164,5,2,2025-12-17
170,1852,120,5,2025-03-20
171,2251,440,3,2025-11-14
